MMM,3M Company,Industrials,Industrial Conglomerates,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,1964-03-31
ABBV,AbbVie,Health Care,Pharmaceuticals,2012-12-31
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,2011-07-06
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software,2015-08-31
AYI,Acuity Brands Inc,Industrials,Electrical Components & Equipment,2016-05-03
ADBE,Adobe Systems Inc,Information Technology,Application Software,1997-05-05
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,2015-07-09
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,
AET,Aetna Inc,Health Care,Managed Health Care,1976-06-30
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,2014-07-01
AFL,AFLAC Inc,Financials,Life & Health Insurance,
A,Agilent Technologies Inc,Health Care,Health Care Equipment,
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,1985-04-30
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,2007-07-12
ALK,Alaska Air Group Inc,Industrials,Airlines,2016-05-13
ALB,Albemarle Corp,Materials,Specialty Chemicals,2016-07-01
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,2012-05-25
ALLE,Allegion,Industrials,Building Products,2013-12-02
AGN,Allergan,Health Care,Pharmaceuticals,
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,2013-12-23
LNT,Alliant Energy Corp,Utilities,Electric Utilities,2016-07-01
ALL,Allstate Corp,Financials,Property & Casualty Insurance,
GOOGL,Alphabet Inc Class A,Information Technology,Internet Software & Services,2014-04-03
GOOG,Alphabet Inc Class C,Information Technology,Internet Software & Services,
MO,Altria Group Inc,Consumer Staples,Tobacco,
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18
AEE,Ameren Corp,Utilities,MultiUtilities,1991-09-19
AAL,American Airlines Group,Industrials,Airlines,2015-03-23
AEP,American Electric Power,Utilities,Electric Utilities,
AXP,American Express Co,Financials,Consumer Finance,1976-06-30
AIG,American International Group Inc.,Financials,Property & Casualty Insurance,1980-03-31
AMT,American Tower Corp A,Real Estate,Specialized REITs,2007-11-19
AWK,American Water Works Company Inc,Utilities,Water Utilities,2016-03-04
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,
AME,AMETEK Inc,Industrials,Electrical Components & Equipment,2013-09-23
AMGN,Amgen Inc,Health Care,Biotechnology,1992-01-02
APH,Amphenol Corp,Information Technology,Electronic Components,2008-09-30
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,
ADI,Analog Devices Inc.,Information Technology,Semiconductors,
ANTM,Anthem Inc.,Health Care,Managed Health Care,
AON,Aon plc,Financials,Insurance Brokers,
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,
AIV,Apartment Investment & Mgmt,Real Estate,REITs,
AAPL,Apple Inc.,Information Technology,Computer Hardware,1982-11-30
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment,
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,1981-07-29
ARNC,Arconic Inc,Industrials,Aerospace & Defense,1964-03-31
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2016-05-31
AIZ,Assurant Inc,Financials,Multi-line Insurance,2007-04-10
T,AT&T Inc,Telecommunications Services,Integrated Telecommunications Services,1983-11-30
ADSK,Autodesk Inc,Information Technology,Application Software,1989-12-01
ADP,Automatic Data Processing,Information Technology,Internet Software & Services,1981-03-31
AN,AutoNation Inc,Consumer Discretionary,Specialty Stores,
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,
AVB,AvalonBay Communities Inc.,Real Estate,Residential REITs,2007-01-10
AVY,Avery Dennison Corp,Materials,Paper Packaging,1987-12-31
BHI,Baker Hughes Inc,Energy,Oil & Gas Equipment & Services,
BLL,Ball Corp,Materials,Metal & Glass Containers,1984-10-31
BAC,Bank of America Corp,Financials,Banks,1976-06-30
BCR,Bard (C.R.) Inc.,Health Care,Health Care Equipment,1975-06-30
BAX,Baxter International Inc.,Health Care,Health Care Equipment,1972-09-30
BBT,BB&T Corporation,Financials,Banks,
BDX,Becton Dickinson,Health Care,Health Care Equipment,1972-09-30
BBBY,Bed Bath & Beyond,Consumer Discretionary,Specialty Stores,
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2010-02-16
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,
BIIB,BIOGEN IDEC Inc.,Health Care,Biotechnology,
BLK,BlackRock,Financials,Asset Management & Custody Banks,2011-04-04
HRB,Block H&R,Financials,Consumer Finance,1986-11-30
BA,Boeing Company,Industrials,Aerospace & Defense,
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,2011-12-19
BXP,Boston Properties,Real Estate,REITs,
BSX,Boston Scientific,Health Care,Health Care Equipment,
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,
AVGO,Broadcom,Information Technology,Semiconductors,2014-05-08
BF.B,Brown-Forman Corporation,Consumer Staples,Distillers & Vintners,1982-10-31
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,
CA,CA Inc.,Information Technology,Systems Software,1987-07-31
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,2008-06-23
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,
COF,Capital One Financial,Financials,Consumer Finance,
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,2010-06-28
CCL,Carnival Corp.,Consumer Discretionary,Hotels Resorts & Cruise Lines,
CAT,Caterpillar Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks,
CBG,CBRE Group,Real Estate,Real Estate Services,
CBS,CBS Corp.,Consumer Discretionary,Broadcasting & Cable TV,1994-09-01
CELG,Celgene Corp.,Health Care,Biotechnology,
CNC,Centene Corporation,Health Care,Managed Health Care,2016-03-30
CNP,CenterPoint Energy,Utilities,MultiUtilities,1985-07-31
CTL,CenturyLink Inc,Telecommunications Services,Integrated Telecommunications Services,
CERN,Cerner,Health Care,Health Care Technology,2010-04-30
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,2008-08-27
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,
CHTR,Charter Communications,Consumer Discretionary,Cable & Satellite,2016-09-08
CHK,Chesapeake Energy,Energy,Integrated Oil & Gas,
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,2011-04-28
CB,Chubb Limited,Financials,Property & Casualty Insurance,2010-07-15
CHD,Church & Dwight,Consumer Staples,Household Products,2015-12-29
CI,CIGNA Corp.,Health Care,Managed Health Care,1976-06-30
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,2014-06-21
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,
CTAS,Cintas Corporation,Industrials,Diversified Support Services,
CSCO,Cisco Systems,Information Technology,Networking Equipment,1993-12-01
C,Citigroup Inc.,Financials,Banks,1988-05-31
CFG,Citizens Financial Group,Financials,Regional Banks,2016-01-29
CTXS,Citrix Systems,Information Technology,Internet Software & Services,
CME,CME Group Inc.,Financials,Financial Exchanges & Data,
CMS,CMS Energy,Utilities,MultiUtilities,
COH,Coach Inc.,Consumer Discretionary,Apparel Accessories & Luxury Goods,
KO,Coca Cola Company,Consumer Staples,Soft Drinks,
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,
CL,Colgate-Palmolive,Consumer Staples,Household Products,
CMCSA,Comcast A Corp,Consumer Discretionary,Cable & Satellite,2015-09-18
CMA,Comerica Inc.,Financials,Regional Banks,
CAG,ConAgra Foods Inc.,Consumer Staples,Packaged Foods & Meats,1983-08-31
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,2016-02-22
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,
ED,Consolidated Edison,Utilities,Electric Utilities,
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,
GLW,Corning Inc.,Information Technology,Electronic Components,
COST,Costco Co.,Consumer Staples,Hypermarkets & Super Centers,1993-10-01
COTY,Coty Inc,Consumer Staples,Personal Products,2016-10-03
CCI,Crown Castle International Corp.,Real Estate,REITs,2012-03-14
CSRA,CSRA Inc.,Information Technology,IT Consulting & Other Services,2015-12-01
CSX,CSX Corp.,Industrials,Railroads,1967-09-30
CMI,Cummins Inc.,Industrials,Industrial Machinery,1965-03-31
CVS,CVS Health,Consumer Staples,Drug Retail,
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,
DHR,Danaher Corp.,Industrials,Industrial Conglomerates,
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,
DVA,DaVita Inc.,Health Care,Health Care Facilities,2008-07-31
DE,Deere & Co.,Industrials,Construction & Farm Machinery & Heavy Trucks,
DLPH,Delphi Automotive,Consumer Discretionary,Auto Parts & Equipment,2012-12-24
DAL,Delta Air Lines,Industrials,Airlines,2013-09-11
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,2008-11-14
DVN,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production,
DLR,Digital Realty Trust,Real Estate,Specialized REITs,2016-05-18
DFS,Discover Financial Services,Financials,Consumer Finance,2007-07-02
DISCA,Discovery Communications-A,Consumer Discretionary,Cable & Satellite,2010-03-01
DISCK,Discovery Communications-C,Consumer Discretionary,Cable & Satellite,2014-08-07
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,2012-12-03
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,2011-12-19
D,Dominion Resources,Utilities,Electric Utilities,
DOV,Dover Corp.,Industrials,Industrial Machinery,1985-10-31
DOW,Dow Chemical,Materials,Diversified Chemicals,
DPS,Dr Pepper Snapple Group,Consumer Staples,Soft Drinks,2008-10-07
