DROP TABLE
CREATE TABLE
COPY 319
Default footer is off.
SELECT 1
SELECT 312
SELECT 312
SELECT 312
CREATE VIEW
 num | zipcode |  pop  | med_age | male_pct | avg_hm_size | distance 
-----+---------+-------+---------+----------+-------------+----------
   1 |   93591 |  7285 |    30.9 |    0.501 |        3.67 |    0.000
   2 |   91763 | 36375 |    30.8 |    0.498 |        3.81 |    0.172
   3 |   90040 | 12520 |    31.2 |    0.490 |        3.75 |    0.311
   4 |   91767 | 48068 |    31.2 |    0.493 |        3.47 |    0.361
   5 |   90303 | 26176 |    30.4 |    0.486 |        3.58 |    0.508
   6 |   90602 | 25777 |    30.9 |    0.493 |        3.09 |    0.580
   7 |   91303 | 26855 |    31.1 |    0.518 |        3.08 |    0.623
   8 |   90806 | 42399 |    30.3 |    0.489 |        3.44 |    0.643
   9 |   91732 | 61386 |    31.4 |    0.501 |        4.13 |    0.679
  10 |   90242 | 43497 |    31.6 |    0.488 |        3.41 |    0.747
  11 |   91706 | 76571 |    30.5 |    0.496 |        4.35 |    0.789

